primary_key,normal,crack,dent,glass_shatter,lamp_broken,scratch,tire_flat,total_images,description_rating,rating,condition
1,5,0,0,0,0,0,0,5,4,,6
2,7,0,0,0,0,0,0,7,5,10.0,7
3,5,0,0,0,0,0,0,5,4,,6
4,3,0,0,0,0,0,0,3,4,,5
5,3,0,0,0,0,0,0,3,4,,5
6,2,0,0,0,0,0,0,2,4,,5
7,8,0,4,0,0,0,0,12,4,,4
8,4,0,0,0,0,0,0,4,4,,6
9,6,0,0,0,0,0,0,6,4,,6
10,5,0,0,0,0,0,0,5,4,,6
11,10,0,0,0,0,0,0,10,4,,6
12,11,0,0,0,0,0,0,11,4,,6
13,2,0,0,0,0,0,0,2,4,,5
14,6,0,0,0,0,0,0,6,4,,6
15,6,0,0,0,0,0,0,6,4,,6
16,4,0,0,0,0,0,0,4,4,,6
17,8,0,0,0,0,0,0,8,4,,6
18,6,0,0,1,0,0,0,7,4,,4
19,5,0,0,0,0,0,0,5,4,,6
20,4,0,0,0,0,0,0,4,4,,6
21,7,0,0,0,1,0,0,8,4,,5
22,8,0,0,0,0,0,0,8,4,,6
23,4,0,0,0,0,0,0,4,4,,6
24,7,0,1,0,0,0,0,8,4,,5
25,3,0,1,0,0,0,0,4,4,,5
26,8,0,0,0,0,0,0,8,4,,6
27,4,0,0,0,0,0,0,4,4,,6
28,6,0,1,0,0,1,0,8,4,,5
29,1,0,0,0,0,0,0,1,4,,4
30,7,0,0,0,0,0,0,7,4,,6
31,13,0,0,0,0,0,0,13,4,,6
32,2,0,0,0,0,0,0,2,4,,5
33,13,0,0,0,0,0,0,13,4,,6
34,7,0,0,0,0,0,0,7,2,,6
35,9,0,0,0,0,0,0,9,4,,6
36,8,0,0,0,0,0,0,8,2,,6
37,5,0,1,0,0,0,0,6,4,,5
38,3,0,0,0,0,0,0,3,4,,5
39,6,0,2,1,0,0,0,9,4,,5
40,3,0,0,0,0,0,1,4,4,,5
41,6,0,0,0,0,0,0,6,4,,6
42,5,0,0,0,0,0,0,5,4,,6
43,4,0,0,0,0,0,0,4,2,,6
44,5,0,2,0,0,0,0,7,4,8.0,4
45,8,0,0,0,0,0,0,8,5,9.0,7
46,3,0,0,0,0,0,0,3,2,,5
47,10,0,0,0,0,0,0,10,4,,6
48,7,0,0,0,0,0,0,7,4,,6
49,11,0,0,0,0,0,0,11,4,,6
50,7,0,0,0,0,0,0,7,4,,6
51,6,0,0,0,0,0,0,6,5,10.0,7
52,6,0,0,0,0,0,0,6,5,9.0,7
53,4,0,0,0,0,0,0,4,4,,6
54,3,0,0,0,0,0,0,3,4,,5
55,6,0,0,0,0,0,0,6,4,,6
56,6,0,0,0,0,0,0,6,4,,6
57,5,0,0,0,0,0,0,5,4,,6
58,5,0,2,0,0,0,0,7,4,8.0,4
59,8,0,0,0,0,0,0,8,5,9.0,7
60,11,0,0,0,0,0,0,11,4,,6
61,7,0,0,0,0,0,0,7,4,,6
62,6,0,0,0,0,0,0,6,5,10.0,7
63,6,0,0,0,0,0,0,6,5,9.0,7
64,6,0,0,0,0,0,0,6,4,,6
65,6,0,0,0,0,0,0,6,4,,6
66,2,0,1,0,0,0,0,3,4,,4
67,2,0,0,0,0,0,0,2,2,,5
68,6,0,0,0,0,0,0,6,4,,6
69,3,0,1,0,0,0,0,4,4,,5
70,3,0,0,0,0,0,0,3,4,,5
71,2,0,4,0,0,0,0,6,4,,4
72,9,0,0,0,0,0,0,9,4,,6
73,5,0,1,0,0,0,0,6,4,,5
74,6,0,0,0,0,0,0,6,4,,6
75,3,0,0,0,0,0,0,3,4,,5
76,7,0,0,0,0,0,0,7,4,,6
77,5,0,1,0,0,0,0,6,4,7.0,5
78,4,0,0,0,0,0,0,4,4,,6
79,3,0,0,0,0,0,0,3,4,,5
80,7,0,0,0,1,0,0,8,4,,5
81,4,0,0,0,0,0,0,4,4,,6
82,9,0,0,0,0,0,0,9,2,,6
83,8,0,0,0,0,0,0,8,4,,6
84,6,0,0,0,0,0,0,6,4,,6
85,8,0,0,0,0,0,0,8,4,,6
86,5,0,0,0,0,0,0,5,4,,6
87,3,0,0,0,0,0,0,3,4,,5
88,2,0,0,0,0,0,0,2,2,,5
89,6,0,0,0,0,0,0,6,4,,6
90,2,0,4,0,0,0,0,6,4,,4
91,10,0,0,0,0,0,0,10,4,,6
92,6,0,0,0,0,0,0,6,4,,6
93,5,0,1,0,0,0,0,6,4,7.0,5
94,3,0,0,0,0,0,0,3,4,,5
95,7,0,0,0,1,0,0,8,4,,5
96,8,0,0,0,0,0,0,8,2,,6
97,6,0,0,0,0,0,0,6,4,,6
98,8,0,0,0,0,0,0,8,4,,6
99,5,0,0,0,0,0,0,5,4,,6
100,8,0,0,0,0,0,0,8,4,,6
101,4,0,0,0,0,0,0,4,4,,6
102,6,0,1,0,0,0,0,7,4,,5
103,6,0,0,0,0,0,0,6,4,,6
104,6,0,0,0,0,0,0,6,4,,6
105,6,0,0,0,0,0,0,6,4,,6
106,3,0,1,0,0,0,0,4,4,,5
107,3,0,0,0,0,0,0,3,4,,5
108,7,0,0,0,0,0,0,7,4,,6
109,6,0,0,0,0,0,0,6,5,10.0,7
110,2,0,0,0,0,0,0,2,4,,5
111,3,0,1,0,0,1,0,5,4,,5
112,5,0,0,0,0,0,0,5,4,,6
113,11,0,0,0,0,0,0,11,4,,6
114,7,0,0,0,0,0,0,7,4,,6
115,3,0,0,0,0,0,0,3,4,,5
116,1,0,0,0,0,0,0,1,4,,4
117,7,0,0,0,0,0,0,7,4,,6
118,8,0,0,0,0,0,0,8,4,,6
119,6,0,0,0,0,0,0,6,4,7.0,7
120,5,0,1,0,0,0,0,6,4,,5
121,5,0,0,0,0,0,0,5,5,9.0,7
122,6,0,0,0,0,0,0,6,4,,6
123,6,0,1,0,0,0,0,7,4,,5
124,2,0,0,0,0,0,0,2,4,,5
125,3,0,0,0,0,0,0,3,4,,5
126,4,0,0,0,0,0,0,4,4,,6
127,6,0,0,0,0,0,1,7,4,,5
128,6,0,0,0,0,0,0,6,4,,6
129,6,0,0,0,0,0,0,6,4,,6
130,6,0,0,0,0,0,0,6,4,,6
131,3,0,1,0,0,0,0,4,4,,5
132,3,0,0,0,0,0,0,3,4,,5
133,6,0,0,0,0,0,0,6,5,10.0,7
134,2,0,0,0,0,0,0,2,4,,5
135,5,0,0,0,0,0,0,5,4,,6
136,8,0,0,0,0,0,0,8,4,,6
137,7,0,0,1,0,0,1,9,4,,4
138,3,0,4,2,0,0,0,9,4,,4
139,9,0,0,0,0,0,0,9,4,,6
140,5,0,0,0,0,0,0,5,5,9.0,7
141,10,0,1,0,0,0,0,11,4,,5
142,6,0,0,0,0,0,0,6,2,,6
143,3,0,0,0,0,0,0,3,4,,5
144,5,0,0,0,0,0,0,5,4,,6
145,5,0,0,0,0,0,0,5,4,,6
146,6,0,0,0,0,0,0,6,4,,6
147,2,0,0,0,0,0,0,2,4,,5
148,5,0,0,0,0,0,0,5,2,,6
149,10,0,0,0,0,0,0,10,5,10.0,7
150,10,0,0,0,0,0,0,10,4,,6
151,2,0,0,0,0,0,0,2,4,,5
152,6,0,0,0,0,0,0,6,2,,6
153,6,0,0,0,0,0,0,6,4,,6
154,6,0,0,0,0,0,0,6,4,,6
155,1,0,0,0,0,0,0,1,2,,4
156,6,0,2,0,0,0,0,8,4,,4
157,6,0,0,0,0,0,0,6,4,,6
158,6,0,0,0,0,0,0,6,4,,6
159,2,0,0,0,0,0,0,2,2,,5
160,5,0,0,0,0,0,0,5,4,,6
161,8,0,0,0,0,0,0,8,4,,6
162,6,0,0,0,0,0,0,6,4,7.0,7
163,5,0,0,0,0,0,0,5,5,9.0,7
164,6,0,0,0,0,0,0,6,4,,6
165,6,0,0,0,0,0,0,6,4,,6
166,2,0,0,0,0,0,0,2,4,,5
167,9,0,0,0,0,0,0,9,4,,6
168,5,0,0,0,0,0,0,5,5,9.0,7
169,6,0,0,0,0,0,0,6,2,,6
170,3,0,0,0,0,0,0,3,4,,5
171,6,0,0,0,0,0,1,7,4,,5
172,10,0,0,0,0,0,0,10,5,10.0,7
173,5,0,0,0,0,0,0,5,4,,6
174,5,0,3,0,0,0,0,8,4,,4
175,3,0,0,0,0,0,0,3,4,,5
176,4,0,0,0,0,0,0,4,4,,6
177,11,0,0,0,0,0,0,11,4,,6
178,8,0,0,0,0,0,0,8,4,,6
179,6,0,0,0,0,0,0,6,4,,6
180,7,0,0,0,0,0,0,7,2,,6
181,8,0,0,0,0,0,0,8,4,,6
182,3,0,2,0,0,0,0,5,4,,4
183,3,0,0,0,0,0,0,3,4,,5
184,3,0,0,0,0,0,1,4,4,,5
185,2,0,2,0,0,0,0,4,4,,4
186,4,0,0,0,0,1,0,5,4,,5
187,4,0,0,0,0,0,0,4,4,,6
188,6,0,0,0,1,0,0,7,4,,5
189,7,0,2,0,0,0,1,10,4,,5
190,6,0,0,0,0,0,0,6,4,,6
191,6,0,0,0,0,0,0,6,5,10.0,7
192,9,0,0,0,0,0,0,9,4,,6
193,5,0,0,0,0,0,0,5,4,,6
194,7,0,0,0,0,0,0,7,4,8.0,7
195,4,0,0,0,0,0,0,4,4,,6
196,2,0,0,0,0,0,0,2,4,,5
197,2,0,0,0,0,0,0,2,4,,5
198,2,0,0,0,0,0,0,2,4,,5
199,6,0,0,0,0,0,0,6,4,,6
200,6,0,0,0,0,0,0,6,4,,6
201,5,0,0,0,0,0,0,5,4,,6
202,3,0,0,0,0,0,0,3,4,,5
203,4,0,0,0,0,0,0,4,4,,6
204,8,0,0,0,0,0,0,8,4,,6
205,7,0,0,0,0,0,0,7,2,,6
206,8,0,0,0,0,0,0,8,4,,6
207,7,0,0,0,0,0,0,7,5,10.0,7
208,6,0,0,0,0,0,0,6,4,,6
209,7,0,0,0,0,0,0,7,4,8.0,7
210,7,0,0,0,0,0,0,7,4,,6
211,7,0,0,0,0,0,0,7,2,,6
212,6,0,0,0,0,0,0,6,2,7.0,7
213,6,0,0,0,0,0,0,6,4,,6
214,5,0,1,0,0,0,0,6,4,,5
215,9,0,0,0,0,0,0,9,4,,6
216,3,0,0,0,0,0,0,3,4,,5
217,6,0,0,0,0,0,0,6,5,9.0,7
218,2,0,0,0,0,0,0,2,4,,5
219,2,0,0,0,0,0,0,2,4,,5
220,6,0,0,0,0,0,0,6,4,,6
221,1,0,3,0,0,0,0,4,4,,3
222,7,0,0,0,0,0,0,7,5,10.0,7
223,6,0,0,0,0,0,0,6,4,,6
224,4,0,2,0,0,0,0,6,4,,4
225,4,0,0,0,0,0,0,4,4,,6
226,8,0,1,0,0,0,0,9,4,,5
227,7,0,0,0,0,0,0,7,4,,6
228,6,0,0,0,0,0,0,6,4,,6
229,6,0,0,0,0,0,0,6,4,,6
230,3,0,0,0,0,0,1,4,4,,5
231,11,0,0,0,0,0,0,11,4,,6
232,6,0,0,0,0,0,0,6,4,,6
233,6,0,0,0,0,0,0,6,5,10.0,7
234,6,0,0,0,0,0,0,6,4,,6
235,5,0,0,0,0,0,0,5,4,,6
236,2,0,0,0,0,0,0,2,4,,5
237,7,0,0,0,0,0,0,7,4,,6
238,6,0,0,0,0,0,0,6,2,7.0,7
239,5,0,1,0,0,0,0,6,4,,5
240,9,0,0,0,0,0,0,9,4,,6
241,6,0,0,0,0,0,0,6,5,9.0,7
242,2,0,0,0,0,0,0,2,4,,5
243,6,0,0,0,0,0,0,6,4,,6
244,6,0,0,0,0,0,0,6,5,10.0,7
245,3,0,0,0,0,0,0,3,4,,5
246,8,0,1,0,0,0,0,9,4,,5
247,4,0,0,0,0,0,1,5,4,,5
248,7,0,0,0,0,0,0,7,4,,6
249,7,0,0,0,0,0,0,7,4,,6
250,6,0,0,0,0,0,1,7,5,10.0,7
251,4,0,0,0,0,0,0,4,4,,6
252,5,0,0,0,0,0,0,5,4,,6
253,8,0,0,0,0,0,0,8,4,,6
254,4,0,0,0,0,0,0,4,4,,6
255,10,0,0,0,0,0,0,10,4,,6
256,8,0,1,0,0,0,0,9,4,,5
257,4,0,1,0,0,0,0,5,4,,5
258,7,0,0,0,0,0,0,7,4,,6
259,4,0,0,0,0,0,0,4,4,,6
260,7,0,3,0,0,0,0,10,2,,5
261,3,0,0,0,0,0,0,3,4,,5
262,5,0,4,0,0,0,0,9,4,,4
263,4,0,0,0,0,0,0,4,4,,6
264,5,0,0,0,0,0,0,5,4,,6
265,4,0,0,0,0,0,0,4,4,,6
266,5,0,0,0,0,0,0,5,4,,6
267,8,0,0,1,0,0,0,9,4,,4
268,1,0,2,0,0,0,0,3,4,,4
269,1,0,0,0,0,0,0,1,2,,4
270,5,0,1,0,0,0,0,6,4,,5
271,7,0,0,0,0,0,1,8,5,10.0,7
272,6,0,0,0,0,0,0,6,4,,6
273,6,0,0,0,0,0,0,6,4,,6
274,7,0,0,0,0,0,0,7,4,,6
275,3,0,0,0,0,0,0,3,4,,5
276,11,0,0,0,0,0,0,11,4,,6
277,6,0,0,0,0,0,0,6,4,,6
278,6,0,0,0,0,0,0,6,5,10.0,7
279,4,0,0,0,0,0,0,4,4,,6
280,7,0,0,0,0,0,0,7,4,,6
281,7,0,0,0,0,0,0,7,4,,6
282,6,0,0,0,0,0,0,6,5,10.0,7
283,4,0,0,0,0,0,0,4,4,,6
284,5,0,0,0,0,0,0,5,4,,6
285,1,0,0,0,0,0,0,1,2,,4
286,8,0,0,0,0,0,0,8,4,,6
287,4,0,0,0,0,0,0,4,4,,6
288,6,0,0,0,0,0,0,6,4,,6
289,2,0,0,0,0,0,1,3,4,,5
290,6,0,0,0,0,0,0,6,4,,6
291,5,0,0,0,0,0,0,5,4,,6
292,5,0,0,0,0,0,0,5,2,8.0,7
293,6,0,0,0,0,0,0,6,4,,6
294,8,0,0,0,0,1,0,9,4,,5
295,6,0,0,0,0,0,0,6,2,6.0,6
296,5,0,2,0,0,0,0,7,4,,4
297,5,0,2,0,0,0,0,7,4,,4
298,9,0,0,0,0,0,0,9,4,,6
299,7,0,0,0,0,0,0,7,4,,6
300,4,0,0,0,0,0,0,4,4,,6
301,6,0,0,0,0,0,0,6,4,,6
